calories,protein,total_fat,carbohydrate,fiber,sugars,Cluster
335,88.32,3.4,0.0,0.0,0.0,3
283,0.0,0.2,76.79,0.0,76.77,5
148,20.53,6.7,0.0,0.0,0.0,3
76,14.48,1.5,0.0,0.0,0.0,0
282,12.07,22.0,7.53,0.0,0.0,3
358,0.19,0.0,88.69,0.9,3.35,2
68,2.55,1.0,14.32,5.4,8.92,0
392,18.07,25.0,41.35,11.8,0.67,2
522,15.5,34.0,47.4,4.1,42.22,5
284,9.4,3.6,53.1,6.4,4.23,2
884,0.0,100.0,0.0,0.0,0.0,4
394,1.78,7.3,81.64,2.0,75.0,5
197,21.0,9.0,8.0,4.6,1.25,3
112,22.83,1.6,0.0,0.0,0.0,3
27,2.86,0.4,4.67,3.2,1.32,0
35,5.81,0.3,5.11,0.3,0.49,0
360,7.1,18.0,43.7,1.2,0.0,2
107,1.42,0.4,27.57,4.2,23.35,0
412,12.0,9.5,68.4,3.0,1.26,2
58,2.06,1.4,9.05,0.0,7.41,0
413,6.47,11.0,72.05,0.4,45.97,5
250,8.7,3.1,47.5,6.5,0.53,2
111,22.95,1.5,0.0,0.0,0.0,3
31,0.0,0.0,9.38,0.0,6.25,0
116,21.99,2.4,0.0,0.0,0.0,3
106,18.43,3.6,0.21,0.0,0.0,3
71,0.61,0.0,17.45,1.0,16.45,0
257,11.82,15.0,20.08,1.6,3.97,3
327,51.46,1.2,33.92,17.5,16.42,1
315,10.5,6.6,52.6,2.5,1.94,2
85,18.5,0.7,0.0,0.0,0.0,3
124,20.04,4.2,0.0,0.0,0.0,3
345,15.8,15.0,52.29,39.8,0.0,1
58,2.57,0.1,12.44,2.5,0.0,0
27,1.66,0.5,5.35,3.4,1.95,0
37,2.1,0.2,8.53,3.2,0.0,0
253,0.1,0.1,66.4,0.4,21.01,2
95,6.81,3.5,9.22,0.7,0.34,0
258,14.11,3.0,55.76,12.3,37.59,5
36,0.32,0.1,9.48,3.6,5.88,0
19,3.15,0.4,2.33,0.0,0.0,0
28,1.11,0.1,6.58,0.9,5.69,0
33,0.84,0.3,7.94,0.7,0.0,0
902,0.0,100.0,0.0,0.0,0.0,4
509,8.1,31.0,53.66,0.0,0.0,2
276,10.8,2.8,51.87,5.4,0.4,2
381,11.27,9.7,62.09,0.0,0.0,2
96,17.5,2.3,0.0,0.0,0.0,3
207,3.5,11.0,23.6,0.7,21.22,0
41,2.88,1.7,3.29,0.4,2.47,0
27,2.0,0.1,6.1,3.1,2.27,0
96,20.08,1.7,0.0,0.0,0.0,3
22,3.17,0.5,2.85,2.7,0.38,0
365,9.42,4.7,74.26,7.3,0.64,2
89,19.8,0.5,0.0,0.0,0.0,3
72,1.4,0.2,17.51,1.5,8.73,0
237,4.29,8.6,37.14,0.0,18.57,0
465,10.8,18.0,63.5,5.0,4.41,2
498,2.3,25.0,68.1,7.2,3.82,2
41,0.73,0.5,9.57,3.6,0.0,0
74,16.32,0.5,0.0,0.0,0.0,3
304,15.2,26.0,2.1,0.0,0.0,3
148,19.66,7.7,0.0,0.0,0.0,3
278,0.37,0.1,68.86,1.1,48.5,5
35,0.64,0.1,8.24,2.9,4.76,0
884,0.0,100.0,0.0,0.0,0.0,4
360,12.68,1.1,72.83,3.9,0.0,2
337,17.6,16.0,50.02,14.6,0.0,1
387,8.1,2.4,83.4,1.9,23.47,2
101,1.04,0.1,27.4,0.3,21.27,0
414,9.2,21.0,47.0,2.6,11.35,2
108,5.98,7.0,5.36,0.0,0.0,0
23,0.4,0.3,4.8,0.3,4.5,0
34,4.65,0.3,5.8,0.0,0.0,0
370,7.08,19.0,42.82,2.5,3.88,2
241,9.9,1.2,47.47,6.2,8.66,2
153,31.1,1.9,2.76,0.0,2.7,3
458,9.0,28.0,47.81,4.8,36.25,5
43,1.68,0.6,9.57,1.3,0.6,0
26,0.54,0.0,6.75,0.5,0.28,0
902,0.0,100.0,0.0,0.0,0.0,4
307,9.5,6.4,52.0,3.7,4.3,2
238,10.66,2.2,43.91,9.2,5.0,2
32,0.8,0.1,7.55,0.9,5.02,0
34,1.9,0.4,6.5,2.4,2.18,0
53,2.47,1.4,7.82,0.0,5.76,0
286,10.3,3.4,53.1,4.9,1.17,2
313,9.2,9.6,47.49,0.0,0.0,2
253,9.15,23.0,3.59,0.0,3.19,3
166,7.9,9.6,14.29,6.0,0.0,0
406,8.2,21.0,45.8,2.6,11.26,2
341,8.1,1.5,79.57,23.6,38.82,1
18,0.0,0.0,0.04,0.0,0.04,0
124,1.45,0.5,32.1,5.4,20.14,0
372,49.81,8.9,30.63,16.0,9.33,1
52,0.8,0.0,12.13,0.7,0.01,0
286,0.0,0.0,77.59,0.0,77.59,5
476,6.41,22.0,63.49,6.7,1.5,2
375,17.81,22.0,44.24,10.5,2.25,2
27,2.6,0.3,5.2,2.2,3.0,0
85,17.66,1.1,0.0,0.0,0.0,3
353,12.93,1.1,74.46,0.0,74.46,5
27,0.85,0.4,5.14,0.0,5.14,0
525,17.99,42.0,28.13,19.5,2.99,1
397,10.8,2.0,82.2,2.3,3.08,2
902,0.0,100.0,0.0,0.0,0.0,4
339,7.0,15.0,44.3,1.0,0.0,2
503,1.09,51.0,10.05,1.0,8.98,4
47,2.8,0.4,8.35,0.0,0.0,0
32,2.6,0.7,5.5,1.1,4.4,0
282,2.45,0.4,75.03,8.0,63.35,5
43,4.2,0.8,7.3,4.0,0.0,0
367,10.42,7.2,65.12,0.0,0.0,2
370,75.16,1.9,13.79,0.6,0.0,3
32,1.5,0.3,7.13,3.2,0.81,0
387,0.0,0.0,99.98,0.0,99.8,5
269,12.81,24.0,0.28,0.1,0.0,3
83,1.67,1.2,18.7,4.0,13.67,0
42,0.5,0.2,10.65,3.6,7.05,0
430,5.6,13.0,73.8,1.0,17.6,2
348,3.7,7.3,70.9,4.6,46.36,5
305,12.38,25.0,5.89,2.5,1.65,3
223,15.27,16.0,3.73,0.2,0.71,3
19,1.8,0.2,3.74,1.6,1.1,0
133,16.37,4.3,6.32,0.0,0.0,3
350,4.32,22.0,34.91,3.2,2.17,2
255,20.28,18.0,8.09,2.8,0.0,3
290,10.26,26.0,4.17,0.0,0.0,3
363,7.23,2.8,76.48,4.6,0.66,2
70,3.75,0.9,14.89,8.0,0.0,0
19,0.04,0.0,0.27,0.0,0.0,0
88,0.49,0.0,17.03,0.0,14.95,0
141,18.4,4.8,4.9,0.0,0.0,3
349,10.88,1.5,75.43,11.8,1.1,2
183,0.97,15.0,10.88,1.3,8.16,0
248,8.8,3.4,47.8,4.0,9.68,2
254,7.4,8.7,37.1,2.5,0.0,2
368,0.0,0.0,91.96,2.5,78.57,5
28,0.38,0.2,6.84,0.0,0.0,0
47,0.0,1.6,6.25,0.0,6.25,0
361,10.28,1.8,78.3,7.1,0.8,2
364,5.95,0.6,80.18,1.6,0.12,2
902,0.0,100.0,0.0,0.0,0.0,4
902,0.0,100.0,0.0,0.0,0.0,4
116,0.79,0.2,31.15,2.3,14.0,0
72,1.53,0.2,17.34,3.3,2.9,0
3,0.11,0.1,0.38,0.0,0.0,0
117,21.81,2.7,0.0,0.0,0.0,3
74,2.46,1.6,12.3,0.0,9.84,0
367,10.74,9.6,59.38,2.0,0.0,2
351,25.58,27.0,2.14,0.0,0.56,3
369,21.54,31.0,2.0,0.0,0.0,3
270,7.0,7.4,48.3,4.6,8.22,2
268,0.0,0.0,66.91,0.0,46.55,5
299,3.07,0.5,79.18,3.7,59.19,5
32,0.67,0.3,7.68,2.0,4.89,0
90,19.31,0.8,0.0,0.0,0.0,3
360,23.15,9.7,51.8,13.2,0.0,2
342,11.31,1.7,75.9,12.2,0.41,2
216,15.55,4.3,64.51,42.8,0.41,1
44,0.88,0.6,10.18,4.3,0.0,0
305,15.98,15.0,55.17,21.1,0.0,1
884,0.0,100.0,0.0,0.0,0.0,4
157,12.56,9.8,4.57,1.4,2.27,3
93,5.6,2.1,17.31,11.0,6.3,0
42,2.8,0.6,8.32,1.7,0.0,0
246,0.3,0.0,66.3,0.7,60.0,5
339,11.73,0.5,73.45,0.0,73.45,5
24,0.76,0.1,5.12,0.0,5.12,0
49,0.9,0.7,9.77,2.5,4.8,0
433,11.8,13.0,67.1,0.2,24.2,5
31,1.24,0.2,7.3,3.1,3.93,0
592,48.05,44.0,1.13,0.0,0.56,3
311,5.2,10.0,51.5,2.5,0.0,2
382,4.6,8.1,77.0,0.0,65.5,5
136,3.5,11.0,7.1,0.0,0.22,0
382,81.1,0.0,7.8,0.0,5.4,3
101,3.99,0.3,21.34,1.8,0.73,0
224,23.64,13.0,3.64,3.6,0.0,3
365,9.42,4.7,74.26,0.0,0.0,2
197,18.58,13.0,0.0,0.0,0.0,3
340,10.69,2.0,75.36,12.7,0.41,2
73,0.66,0.5,18.4,7.0,0.0,0
387,6.15,24.0,40.75,0.0,0.0,2
45,0.7,0.2,10.4,0.2,8.4,0
161,0.98,11.0,14.12,1.7,10.83,0
31,1.43,0.2,7.37,2.1,3.83,0
43,1.39,0.5,9.61,5.3,4.88,0
109,4.8,0.6,23.54,7.8,0.0,0
327,20.05,27.0,0.49,0.0,0.49,3
52,1.2,0.7,11.94,6.5,4.42,0
224,8.36,0.9,85.64,79.0,0.0,1
243,8.9,4.6,43.5,4.9,4.67,2
11,0.92,0.1,2.32,0.0,0.0,0
389,0.0,0.0,99.77,0.0,97.81,5
134,22.77,4.0,0.0,0.0,0.0,3
378,4.2,2.7,84.0,1.6,45.42,5
98,18.99,1.9,0.0,0.0,0.0,3
112,3.79,0.2,23.22,1.4,0.1,0
43,3.46,1.1,7.02,2.1,0.0,0
285,19.93,6.0,52.04,29.8,0.0,1
44,3.29,0.7,8.41,6.8,0.0,0
153,6.28,6.1,18.12,3.1,0.99,0
316,13.35,21.0,49.69,21.0,0.9,1
357,9.82,1.3,76.68,8.0,0.93,2
313,7.61,8.4,74.97,26.3,0.0,1
311,10.76,6.7,68.47,28.0,0.0,1
22,0.35,0.2,6.9,0.3,2.52,0
80,1.82,0.8,17.77,2.0,1.7,0
902,0.0,100.0,0.0,0.0,0.0,4
187,16.04,9.3,9.41,0.0,0.0,3
97,1.5,0.2,25.0,10.6,0.0,0
57,0.74,0.3,14.49,2.4,9.96,0
368,23.41,30.0,1.12,0.0,1.12,3
22,2.2,0.1,4.33,3.7,0.5,0
387,23.37,31.0,4.78,0.0,0.0,3
255,10.7,1.2,53.3,3.6,1.63,2
902,0.0,100.0,0.0,0.0,0.0,4
47,0.85,0.2,12.02,1.7,9.18,0
81,5.42,0.4,14.45,5.7,5.67,0
40,3.21,0.9,11.44,2.6,0.0,0
67,0.36,0.1,16.1,3.1,10.23,0
399,0.0,0.0,99.8,0.0,99.19,5
157,13.83,11.0,0.0,0.0,0.0,3
216,8.68,16.0,10.64,0.0,0.0,0
235,11.8,17.0,9.2,0.0,0.0,3
