category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Beverages,100.0,80,0.07,0.0,2.46,0.0,0.0
Beverages,100.0,88,0.07,0.0,2.86,0.0,0.0
Sauce,100.0,80,2.78,0.6,15.87,1.2,5.16
Miscellaneous Ingredients,100.0,347,2.06,0.0,84.77,0.6,4.03
Red Meat,100.0,146,21.31,6.8,0.0,0.0,0.0
Grains,100.0,310,7.99,6.4,55.1,3.6,9.53
Red Meat,100.0,85,12.07,3.7,0.0,0.0,0.0
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Eggs,100.0,298,6.71,9.9,45.41,2.4,5.04
Snacks,100.0,508,5.5,27.0,63.0,3.1,34.0
Fruits,100.0,60,0.3,0.0,16.3,1.5,1.41
Snacks,100.0,400,4.67,12.0,68.16,2.1,34.27
Vegetables,100.0,35,2.18,0.3,7.38,1.9,5.48
Sauce,100.0,240,10.27,10.0,26.69,2.5,4.84
Red Meat,100.0,112,17.72,3.9,0.14,0.0,0.0
Red Meat,100.0,135,20.36,3.6,3.89,0.0,0.0
Eggs,100.0,138,4.54,2.1,25.16,1.2,0.4
Seafood,100.0,189,19.63,6.8,11.05,0.0,0.0
Vegetables,100.0,84,5.36,0.2,15.63,5.5,5.93
Sauce,100.0,52,2.04,1.4,7.76,1.2,1.63
Red Meat,100.0,275,11.97,12.0,30.04,1.2,4.84
Eggs,100.0,312,7.19,9.6,49.29,2.4,5.02
Vegetables,100.0,29,1.8,0.1,6.69,1.1,2.8
Vegetables,100.0,62,1.4,0.2,13.6,2.4,0.59
Grains,100.0,390,7.06,17.0,51.29,1.7,18.1
Miscellaneous Ingredients,100.0,574,15.31,46.0,32.69,3.0,5.01
Miscellaneous Ingredients,100.0,581,16.84,48.0,30.16,3.3,5.01
Vegetables,100.0,29,1.03,0.1,6.85,0.0,0.0
Seafood,100.0,159,15.9,11.0,0.0,0.0,0.0
Dairy,100.0,167,4.3,1.0,37.7,0.0,37.7
Miscellaneous Ingredients,100.0,423,3.9,9.5,81.0,0.7,0.0
Poultry,100.0,177,27.29,6.7,0.0,0.0,0.0
Legumes and seeds,100.0,614,20.96,56.0,18.82,10.3,4.43
Condiments,100.0,232,0.3,19.0,16.0,0.0,6.0
Seafood,100.0,168,23.8,7.4,0.0,0.0,0.0
Grains,100.0,370,6.4,2.4,85.0,4.7,11.1
Dairy,100.0,216,3.17,13.0,22.23,4.8,6.35
Poultry,100.0,79,16.79,0.4,2.17,0.0,0.1
Condiments,100.0,117,6.5,2.1,18.0,4.6,0.0
Seafood,100.0,130,29.15,0.6,0.0,0.0,0.0
Snacks,100.0,273,8.07,4.2,50.84,2.6,11.06
Vegetables,100.0,59,2.19,2.1,7.8,1.6,1.37
Condiments,100.0,329,0.0,20.0,40.0,0.4,38.73
Fruits,100.0,54,0.27,0.0,13.92,0.6,12.35
Legumes and seeds,100.0,91,6.03,0.3,16.55,6.9,0.23
Seafood,100.0,182,25.44,8.1,0.0,0.0,0.0
Condiments,100.0,165,0.0,0.0,44.55,0.0,32.8
Seafood,100.0,105,22.76,0.9,0.0,0.0,0.0
Beverages,100.0,231,0.0,0.0,0.0,0.0,0.0
Condiments,100.0,65,2.2,0.9,12.11,2.1,4.31
Sauce,100.0,21,0.9,0.6,3.9,0.7,2.55
Miscellaneous Ingredients,100.0,231,12.7,7.5,31.0,4.1,2.8
Poultry,100.0,155,26.45,4.6,0.0,0.0,0.0
Seafood,100.0,118,24.84,1.3,0.0,0.0,0.0
Snacks,100.0,442,5.54,21.0,67.2,1.9,1.26
Poultry,100.0,200,17.15,14.0,0.0,0.0,0.0
Condiments,100.0,221,14.87,12.0,14.2,1.4,0.0
Snacks,100.0,536,15.25,36.0,43.64,4.7,30.87
Sauce,100.0,108,2.02,1.0,22.73,2.1,15.65
Dairy,100.0,162,4.24,4.9,26.36,0.1,19.49
Eggs,100.0,283,10.35,16.0,24.79,0.7,4.03
Snacks,100.0,529,18.3,30.0,46.88,5.0,38.3
Eggs,100.0,88,2.87,3.7,10.78,1.9,0.0
Eggs,100.0,232,8.0,1.8,46.0,0.0,0.0
Fruits,100.0,109,0.71,0.4,25.78,1.4,19.29
Vegetables,100.0,31,0.49,0.0,8.13,1.2,5.37
Fruits,100.0,61,0.2,0.2,16.3,1.8,13.93
Beverages,100.0,141,5.16,4.5,19.88,0.0,8.33
Sauce,100.0,143,3.14,9.5,11.14,0.7,1.95
Snacks,100.0,475,6.0,22.0,65.0,2.4,9.5
Poultry,100.0,172,25.78,6.4,1.11,0.0,0.0
Dairy,100.0,262,16.96,16.0,14.43,1.0,3.49
Eggs,100.0,201,6.5,3.5,39.0,4.0,3.9
Sauce,100.0,24,0.4,0.1,5.37,0.0,1.42
Grains,100.0,131,3.62,1.4,25.87,2.6,3.36
Vegetables,100.0,39,1.14,0.4,7.9,1.1,1.56
Vegetables,100.0,20,0.72,0.1,4.9,1.1,2.08
Beverages,100.0,86,0.07,0.0,3.69,0.0,0.0
Beverages,100.0,88,0.07,0.0,2.64,0.0,0.0
Red Meat,100.0,854,1.5,94.0,0.0,0.0,0.0
Legumes and seeds,100.0,22,1.14,0.1,5.23,0.0,0.0
Legumes and seeds,100.0,607,21.23,55.0,17.68,10.5,4.55
Legumes and seeds,100.0,598,20.96,53.0,21.01,10.9,4.86
Beverages,100.0,411,5.1,4.8,86.94,4.8,66.67
Grains,100.0,346,6.07,1.1,86.4,0.4,7.82
Dairy,100.0,56,4.1,2.0,5.3,0.0,5.3
Legumes and seeds,100.0,469,38.55,25.0,30.22,17.7,0.0
Red Meat,100.0,295,23.05,22.0,0.0,0.0,0.0
Fruits,100.0,84,3.36,1.0,15.86,1.1,11.68
Vegetables,100.0,35,0.76,0.2,8.22,3.0,3.45
Vegetables,100.0,22,0.76,0.1,5.33,1.7,0.0
Seafood,100.0,128,26.3,1.7,0.0,0.0,0.0
Legumes and seeds,100.0,342,35.62,2.4,48.73,0.0,0.0
Snacks,100.0,484,6.08,22.0,64.48,2.7,26.31
Fruits,100.0,115,1.41,1.4,24.11,0.1,20.61
Grains,100.0,375,6.4,1.9,85.09,2.0,8.0
Sauce,100.0,46,0.98,0.2,10.16,0.7,6.56
Miscellaneous Ingredients,100.0,355,10.53,0.9,76.14,1.8,1.75
Sauce,100.0,35,1.45,0.1,8.43,1.5,5.77
Red Meat,100.0,255,52.06,5.2,0.0,0.0,0.0
Seafood,100.0,129,19.68,5.0,0.0,0.0,0.0
Beverages,100.0,29,0.0,0.0,7.41,0.0,7.41
Beverages,100.0,33,0.0,0.0,8.23,0.0,8.23
Snacks,100.0,426,5.2,23.0,50.8,1.5,0.0
Grains,100.0,390,4.51,2.7,87.3,2.3,44.61
Seafood,100.0,105,18.47,2.9,0.0,0.0,0.0
Snacks,100.0,397,4.44,4.8,85.92,2.6,44.31
Seafood,100.0,67,11.7,2.2,0.0,0.0,0.0
Red Meat,100.0,216,13.6,14.0,8.1,0.0,1.9
Red Meat,100.0,186,14.45,14.0,1.62,0.0,1.57
Snacks,100.0,497,9.8,25.0,58.2,3.1,0.0
Fruits,100.0,63,0.09,0.1,16.25,1.0,12.95
Eggs,100.0,65,2.16,1.4,10.88,1.8,6.06
Vegetables,100.0,62,3.59,2.5,6.34,1.4,1.43
Legumes and seeds,100.0,587,17.56,49.0,27.57,2.0,0.0
Eggs,100.0,208,11.2,3.5,36.0,3.8,11.0
Poultry,100.0,201,23.48,11.0,0.0,0.0,0.0
Red Meat,100.0,302,10.67,26.0,5.24,0.0,2.85
Grains,100.0,440,10.5,12.0,73.2,12.2,0.6
Legumes and seeds,100.0,156,2.62,0.4,35.67,8.0,0.82
Miscellaneous Ingredients,100.0,0,0.0,0.0,0.0,0.0,0.0
Vegetables,100.0,59,2.47,1.7,8.42,2.1,1.58
Grains,100.0,364,6.4,3.9,83.0,8.3,18.2
Poultry,100.0,407,12.96,39.0,0.16,0.0,0.1
Grains,100.0,386,5.5,4.3,85.4,4.2,27.29
Miscellaneous Ingredients,100.0,62,1.22,0.0,14.19,0.0,13.49
Grains,100.0,385,3.32,0.4,90.59,1.9,46.88
Dairy,100.0,162,4.84,4.6,25.3,0.2,22.78
Snacks,100.0,397,5.9,7.8,83.0,9.0,33.9
Red Meat,100.0,196,31.02,7.8,0.47,0.0,0.46
Miscellaneous Ingredients,100.0,319,0.0,0.0,83.9,0.0,0.0
Sauce,100.0,288,11.31,2.3,54.73,0.0,0.0
Dairy,100.0,180,24.6,7.0,3.5,0.0,0.59
Snacks,100.0,500,5.4,24.0,66.0,2.2,34.0
Snacks,100.0,542,9.53,31.0,55.53,3.3,40.33
Eggs,100.0,227,4.7,7.9,41.8,13.2,4.7
Miscellaneous Ingredients,100.0,218,7.8,7.7,28.9,1.9,0.0
Fruits,100.0,41,0.3,0.1,10.9,2.6,7.79
Fruits,100.0,58,0.2,0.2,15.6,2.1,12.96
Eggs,100.0,615,48.17,44.0,2.38,0.0,0.0
Red Meat,100.0,388,11.74,37.0,0.7,0.0,0.0
Sauce,100.0,49,2.86,0.4,8.16,0.8,1.63
Sauce,100.0,44,1.22,0.4,8.98,1.6,2.45
Grains,100.0,364,14.7,1.2,79.6,4.4,0.0
Poultry,100.0,211,15.33,11.0,12.28,0.9,2.68
Miscellaneous Ingredients,100.0,369,0.1,0.1,94.3,0.2,0.0
Beverages,100.0,39,0.0,0.0,9.77,0.0,9.63
Poultry,100.0,189,23.28,11.0,0.0,0.0,0.0
Dairy,100.0,134,6.81,7.6,10.04,0.0,0.0
Legumes and seeds,100.0,506,32.59,36.0,21.9,5.5,0.0
Red Meat,100.0,406,12.5,39.0,0.7,0.0,0.0
Vegetables,100.0,68,2.73,0.2,15.36,3.1,2.9
Poultry,100.0,47,3.41,1.3,5.41,1.0,0.41
Sauce,100.0,49,3.27,0.8,7.35,1.2,0.41
Legumes and seeds,100.0,328,63.63,0.5,25.41,5.5,20.0
Legumes and seeds,100.0,144,17.27,8.7,2.78,2.3,0.0
Vegetables,100.0,50,2.0,0.6,9.26,2.0,2.93
Vegetables,100.0,100,1.71,0.1,23.4,1.8,0.0
Poultry,100.0,108,21.28,2.5,0.15,0.0,0.1
Vegetables,100.0,23,2.97,0.3,3.75,2.4,0.43
Dairy,100.0,111,3.29,1.6,20.81,0.1,0.0
Beverages,100.0,82,0.07,0.0,5.23,0.0,0.0
Snacks,100.0,287,9.4,13.0,33.46,2.8,1.66
Poultry,100.0,173,27.71,6.0,0.0,0.0,0.0
Snacks,100.0,477,4.2,30.0,63.4,5.9,0.0
Sauce,100.0,287,11.92,14.0,29.39,2.3,2.72
Sauce,100.0,319,12.77,19.0,25.3,2.6,3.42
Eggs,100.0,84,1.75,0.1,19.16,1.8,0.91
Vegetables,100.0,66,1.58,0.1,16.02,3.1,0.0
Legumes and seeds,100.0,83,5.54,0.3,15.12,6.3,0.0
Legumes and seeds,100.0,84,5.22,0.6,14.5,4.3,1.85
Snacks,100.0,500,4.1,24.0,68.6,1.9,33.8
Seafood,100.0,116,23.48,1.7,0.0,0.0,0.0
Eggs,100.0,357,84.08,0.3,4.51,0.0,0.0
Snacks,100.0,297,5.8,10.0,45.68,1.5,13.1
Legumes and seeds,100.0,237,3.8,0.0,55.01,0.0,0.0
Vegetables,100.0,22,0.71,0.1,5.06,2.0,2.99
Vegetables,100.0,23,1.27,0.1,5.51,1.9,2.79
Vegetables,100.0,25,0.64,0.2,5.54,1.5,2.48
Poultry,100.0,202,19.53,14.0,0.05,0.0,0.03
Sauce,100.0,20,0.98,0.3,3.28,0.3,1.64
Sauce,100.0,43,0.98,3.0,3.28,0.7,0.33
Snacks,100.0,457,5.3,20.0,70.0,3.3,33.1
Beverages,100.0,336,0.1,0.3,46.8,0.0,38.3
Miscellaneous Ingredients,100.0,122,6.1,1.6,20.7,0.0,0.0
Snacks,100.0,49,1.37,2.3,11.95,7.5,0.43
Grains,100.0,376,9.4,3.7,82.0,10.2,15.2
Grains,100.0,361,11.22,1.8,80.49,13.0,8.86
Grains,100.0,419,14.48,11.0,66.27,20.5,21.32
Miscellaneous Ingredients,100.0,143,20.2,4.7,5.0,2.8,0.8
Grains,100.0,376,12.09,6.7,73.23,9.4,4.36
Legumes and seeds,100.0,71,5.47,0.2,12.41,3.7,0.0
Snacks,100.0,403,20.75,12.0,52.49,4.3,16.9
Condiments,100.0,443,3.1,45.0,8.6,1.0,8.32
Miscellaneous Ingredients,100.0,486,16.8,24.0,51.39,29.8,1.55
Legumes and seeds,100.0,318,13.5,22.0,21.26,8.8,2.47
Seafood,100.0,132,28.21,1.3,0.0,0.0,0.0
Poultry,100.0,197,20.22,12.0,0.0,0.0,0.0
Fruits,100.0,67,0.4,0.2,17.8,1.6,7.1
Vegetables,100.0,36,1.0,0.5,8.25,1.5,1.57
Vegetables,100.0,51,2.1,1.7,7.1,1.1,0.94
Seafood,100.0,104,11.0,4.4,5.1,0.0,0.0
Beverages,100.0,371,0.0,0.3,41.6,0.0,41.6
Fruits,100.0,60,0.11,0.0,15.76,0.6,15.16
Fruits,100.0,347,0.0,0.0,86.68,0.0,57.4
Vegetables,100.0,93,2.5,0.1,21.15,2.2,1.18
Sauce,100.0,70,2.33,4.2,5.68,0.8,0.0
Beverages,100.0,64,3.2,1.6,9.2,1.7,5.95
Vegetables,100.0,57,1.76,0.1,14.41,1.3,2.83
Snacks,100.0,383,1.05,5.5,82.15,0.0,79.77
Beverages,100.0,308,0.1,0.3,32.2,0.0,32.2
Grains,100.0,130,2.38,0.2,28.59,0.0,0.0
Legumes and seeds,100.0,172,18.21,9.0,8.36,6.0,3.0
Sauce,100.0,79,1.86,0.9,15.87,2.2,10.48
Poultry,100.0,109,22.2,1.6,0.0,0.0,0.0
Poultry,100.0,167,25.01,6.6,0.0,0.0,0.0
Condiments,100.0,27,0.92,0.9,4.74,2.6,2.14
Snacks,100.0,470,9.5,21.0,60.67,4.3,41.35
Snacks,100.0,539,2.2,29.0,67.1,0.0,67.1
Seafood,100.0,116,20.53,2.9,1.81,0.0,0.0
Seafood,100.0,96,18.51,1.9,0.0,0.0,0.0
Snacks,100.0,486,7.57,19.0,71.24,2.5,51.33
Eggs,100.0,79,2.5,5.0,6.2,0.9,0.0
Miscellaneous Ingredients,100.0,441,4.8,12.0,78.3,0.0,49.6
Legumes and seeds,100.0,25,2.09,0.8,3.55,0.0,0.0
Fruits,100.0,92,1.01,0.4,21.31,1.0,15.0
Beverages,100.0,45,0.13,0.0,11.88,0.6,11.32
Dairy,100.0,77,3.52,2.3,10.74,1.0,9.66
Grains,100.0,310,9.76,9.8,45.89,9.8,2.44
Snacks,100.0,488,6.86,24.0,62.85,1.9,46.54
Poultry,100.0,151,31.69,2.7,0.0,0.0,0.0
Snacks,100.0,398,2.61,18.0,55.62,2.6,31.36
Miscellaneous Ingredients,100.0,350,4.17,3.2,81.25,2.1,42.13
Eggs,100.0,318,5.0,11.0,50.0,1.2,16.8
Snacks,100.0,481,6.0,27.0,63.5,4.6,0.6
Sauce,100.0,160,1.05,0.0,40.61,1.0,32.2
Vegetables,100.0,59,1.72,1.6,9.78,0.5,3.13
Fruits,100.0,63,0.3,0.0,17.3,1.5,1.4
Seafood,100.0,2,0.4,0.0,0.1,0.0,0.0
Red Meat,100.0,224,7.91,8.3,29.35,1.5,1.79
Vegetables,100.0,57,1.1,0.1,13.2,1.5,4.05
Condiments,100.0,141,0.5,4.0,27.6,0.3,21.87
Snacks,100.0,373,0.1,3.5,85.2,3.5,0.0
Fruits,100.0,29,0.19,0.0,7.81,1.6,6.1
Fruits,100.0,50,0.34,0.1,12.94,1.6,9.7
Vegetables,100.0,23,2.81,0.5,3.4,2.4,0.4
Poultry,100.0,109,5.7,1.8,17.4,2.1,1.0
Grains,100.0,267,0.01,3.0,60.16,2.0,9.6
Vegetables,100.0,25,0.82,0.0,5.39,2.1,3.29
Vegetables,100.0,25,0.64,0.2,5.54,1.5,2.48
Dairy,100.0,61,1.75,3.4,6.16,0.0,0.0
Sauce,100.0,68,1.84,1.6,11.28,0.9,0.23
Poultry,100.0,185,26.41,7.9,0.1,0.0,0.0
Poultry,100.0,167,24.46,6.5,0.87,0.0,0.0
Vegetables,100.0,8,0.23,0.0,2.16,0.0,0.0
Grains,100.0,324,7.6,1.6,78.9,13.7,32.9
Fruits,100.0,113,0.0,2.6,23.9,0.7,0.0
Vegetables,100.0,21,2.46,0.2,3.39,2.4,0.0
Vegetables,100.0,36,1.42,0.3,7.13,3.8,0.0
Vegetables,100.0,21,0.82,0.0,4.12,0.8,3.29
Sauce,100.0,14,0.41,0.0,2.88,0.4,2.06
Snacks,100.0,361,6.8,7.6,75.4,10.8,0.6
Beverages,100.0,4,0.25,0.1,0.7,0.0,0.0
Poultry,100.0,482,19.03,44.0,0.0,0.0,0.0
Snacks,100.0,467,8.6,20.0,63.5,16.3,10.0
Red Meat,100.0,271,59.38,3.7,0.0,0.0,0.0
Seafood,100.0,167,23.59,7.4,0.0,0.0,0.0
Legumes and seeds,100.0,78,4.49,0.1,16.14,0.0,0.0
Vegetables,100.0,22,2.4,0.2,4.11,2.0,1.3
Red Meat,100.0,68,3.5,2.1,8.72,1.8,1.18
Dairy,100.0,98,11.12,4.3,3.38,0.0,2.67
Eggs,100.0,340,5.9,19.0,39.0,0.9,21.1
Dairy,100.0,361,6.4,25.0,30.0,0.8,14.55
Red Meat,100.0,335,11.31,18.0,31.19,2.0,1.84
Seafood,100.0,163,18.9,4.6,9.9,0.0,0.0
Seafood,100.0,164,29.82,2.1,4.4,0.0,0.0
Red Meat,100.0,117,23.07,2.7,0.0,0.0,0.0
Vegetables,100.0,77,2.21,3.6,8.84,1.3,2.34
Snacks,100.0,511,4.0,26.0,66.6,2.2,37.3
Snacks,100.0,506,2.9,25.0,66.7,1.6,42.0
Grains,100.0,379,11.38,4.8,77.77,8.3,16.69
Seafood,100.0,114,24.87,0.9,0.0,0.0,0.0
Snacks,100.0,474,4.3,19.0,72.3,2.2,40.4
Oil,100.0,900,0.0,100.0,0.0,0.0,0.0
Oil,100.0,900,0.0,100.0,0.0,0.0,0.0
Snacks,100.0,557,6.6,33.0,57.4,4.4,1.41
Red Meat,100.0,298,10.31,26.0,4.96,0.0,2.7
Vegetables,100.0,174,4.05,3.0,32.79,1.1,0.56
Snacks,100.0,298,12.33,15.0,28.18,2.5,4.09
Snacks,100.0,271,11.93,11.0,31.22,1.8,3.37
Sauce,100.0,92,2.5,0.3,19.79,2.4,13.33
Poultry,100.0,189,28.55,7.4,0.06,0.0,0.0
Poultry,100.0,134,21.76,4.5,0.0,0.0,0.0
Sauce,100.0,33,1.44,0.3,7.24,1.4,0.0
Fruits,100.0,77,0.5,0.7,17.05,0.4,13.62
Poultry,100.0,71,5.06,2.6,6.88,0.6,0.87
Legumes and seeds,100.0,131,2.0,1.4,27.76,0.0,0.0
Grains,100.0,353,8.3,2.3,83.3,10.1,15.2
Snacks,100.0,499,3.5,28.0,61.4,3.3,34.5
Snacks,100.0,400,4.35,13.0,65.92,2.2,31.76
Legumes and seeds,100.0,56,3.74,1.1,8.16,0.0,0.0
Red Meat,100.0,180,16.3,11.0,3.65,0.0,2.2
Poultry,100.0,135,18.56,5.7,2.23,0.0,0.0
Legumes and seeds,100.0,617,17.28,55.0,23.32,5.7,10.54
Fruits,100.0,156,2.89,1.0,33.88,17.0,14.22
Legumes and seeds,100.0,715,9.2,75.0,13.01,9.5,3.97
Legumes and seeds,100.0,710,9.5,74.0,13.55,9.4,4.06
Vegetables,100.0,62,2.2,1.9,9.0,1.4,2.35
Snacks,100.0,61,2.6,2.0,8.2,0.3,1.32
Grains,100.0,402,6.3,0.5,89.8,1.7,0.0
Miscellaneous Ingredients,100.0,158,5.8,0.9,30.86,1.8,0.56
Beverages,100.0,85,0.07,0.0,2.79,0.0,0.0
Fruits,100.0,344,5.43,5.3,68.63,1.7,42.0
Condiments,100.0,61,4.14,3.6,4.2,1.5,2.14
Grains,100.0,215,3.31,4.6,40.32,1.5,4.06
Miscellaneous Ingredients,100.0,469,5.7,18.0,71.7,1.4,31.6
Fruits,100.0,100,1.0,0.2,23.52,2.7,14.28
Vegetables,100.0,30,0.93,0.2,6.84,1.8,3.95
Oil,100.0,878,0.37,99.0,0.39,0.0,0.0
Beverages,100.0,18,0.0,0.1,4.16,0.0,3.97
Red Meat,100.0,238,23.77,15.0,0.0,0.0,0.0
Seafood,100.0,175,17.94,7.5,7.79,0.0,0.0
Seafood,100.0,117,18.28,4.3,0.0,0.0,0.0
Red Meat,100.0,105,20.04,2.2,0.0,0.0,0.0
Beverages,100.0,41,0.0,0.0,10.58,0.0,10.58
Red Meat,100.0,240,25.07,15.0,0.62,0.0,0.0
Snacks,100.0,429,14.29,4.0,71.43,2.3,57.14
Red Meat,100.0,193,20.33,12.0,0.0,0.0,0.0
Snacks,100.0,400,6.4,7.8,80.7,3.8,45.36
Snacks,100.0,478,5.5,24.0,66.4,7.1,33.1
Sauce,100.0,82,2.86,4.1,8.16,0.8,1.22
Legumes and seeds,100.0,56,0.82,0.2,12.64,0.0,0.0
Dairy,100.0,252,2.4,8.5,42.9,1.4,36.11
Beverages,100.0,49,0.0,0.0,12.99,0.0,12.99
Sauce,100.0,275,11.98,10.0,33.42,2.4,3.13
Legumes and seeds,100.0,599,28.03,53.0,15.26,9.4,4.18
Legumes and seeds,100.0,587,24.35,50.0,21.26,8.4,4.9
Vegetables,100.0,44,1.36,0.2,10.15,1.4,4.73
Grains,100.0,379,5.94,1.0,86.78,1.5,13.79
Poultry,100.0,114,23.66,1.5,0.14,0.0,0.05
Sauce,100.0,81,1.29,5.5,6.59,0.6,0.4
Legumes and seeds,100.0,559,30.23,49.0,10.71,6.0,1.4
Dairy,100.0,88,2.94,1.8,14.71,0.6,10.59
Sauce,100.0,59,0.98,1.6,9.84,0.7,7.21
Legumes and seeds,100.0,32,1.42,0.5,5.38,1.5,0.0
Snacks,100.0,286,0.01,5.0,52.1,1.4,17.1
Condiments,100.0,424,0.2,48.0,0.86,0.0,0.0
Grains,100.0,248,2.99,8.2,40.54,0.0,1.73
Grains,100.0,135,10.2,7.2,7.5,1.4,0.3
Grains,100.0,394,6.01,2.9,86.63,3.2,31.51
Poultry,100.0,114,23.34,2.3,0.0,0.0,0.0
Vegetables,100.0,69,1.9,1.5,12.1,1.1,2.39
Vegetables,100.0,18,0.88,0.2,3.89,1.2,2.63
Fruits,100.0,56,0.28,0.4,14.41,2.8,11.61
Miscellaneous Ingredients,100.0,261,19.6,18.0,6.0,3.5,0.2
Grains,100.0,290,9.0,4.0,54.5,2.9,6.2
Snacks,100.0,460,3.02,23.0,61.23,5.1,45.16
Snacks,100.0,503,8.5,25.0,62.0,2.1,1.6
Seafood,100.0,115,23.72,1.5,0.0,0.0,0.0
Vegetables,100.0,60,2.02,1.9,8.64,1.0,0.99
Red Meat,100.0,376,13.91,35.0,0.0,0.0,0.0
Snacks,100.0,531,8.1,34.0,51.5,5.2,0.0
Snacks,100.0,502,3.84,23.0,70.64,1.6,42.95
Vegetables,100.0,26,2.56,0.5,4.51,2.0,1.41
Snacks,100.0,544,6.8,31.0,60.0,2.7,41.4
Fruits,100.0,88,0.38,0.1,22.9,2.2,20.7
Sauce,100.0,20,0.7,0.1,5.0,1.9,2.55
Miscellaneous Ingredients,100.0,358,10.64,1.3,75.8,1.2,2.4
Sauce,100.0,41,3.09,1.2,4.46,0.8,0.38
Fruits,100.0,57,0.19,0.0,15.17,1.6,12.1
Seafood,100.0,79,7.0,2.1,7.28,0.0,0.0
Snacks,100.0,465,5.3,25.0,65.9,4.5,1.1
Legumes and seeds,100.0,42,2.71,0.1,7.49,6.9,0.25
Red Meat,100.0,562,9.58,58.0,1.06,0.0,0.0
Dairy,100.0,47,3.2,1.8,4.5,0.4,2.0
Condiments,100.0,99,5.1,7.2,2.9,0.0,2.82
Sauce,100.0,273,11.08,11.0,31.84,2.4,3.92
Red Meat,100.0,118,16.3,4.0,3.1,0.0,1.2
Eggs,100.0,307,5.8,12.0,44.5,1.1,15.8
Seafood,100.0,142,24.25,1.6,5.9,0.0,0.0
Legumes and seeds,100.0,147,10.62,5.8,14.94,0.0,0.0
Vegetables,100.0,26,2.56,0.5,4.51,2.0,1.41
Condiments,100.0,195,0.83,11.0,24.06,1.2,17.31
Vegetables,100.0,193,2.7,10.0,22.95,2.3,0.49
Red Meat,100.0,301,27.14,21.0,0.0,0.0,0.0
Grains,100.0,334,8.28,3.4,70.28,6.7,0.0
Grains,100.0,364,10.33,1.0,76.31,2.7,0.27
Red Meat,100.0,674,5.24,72.0,0.62,0.0,0.0
Poultry,100.0,221,27.4,12.0,0.0,0.0,0.0
Snacks,100.0,502,5.1,26.0,65.0,2.4,33.5
Grains,100.0,387,6.94,3.5,82.77,4.9,40.91
Condiments,100.0,123,3.85,1.9,23.08,6.2,10.0
Condiments,100.0,717,1.1,79.0,2.7,0.0,0.0
Snacks,100.0,306,8.2,8.0,49.38,3.5,3.71
Poultry,100.0,34,1.69,0.0,6.78,0.0,0.0
Legumes and seeds,100.0,117,7.81,0.6,20.96,0.0,0.0
Sauce,100.0,59,2.13,1.9,10.24,2.2,0.0
Miscellaneous Ingredients,100.0,220,18.1,13.0,58.3,29.8,1.76
Fruits,100.0,126,1.93,0.2,32.62,0.0,0.0
Vegetables,100.0,18,2.95,0.4,1.92,1.6,0.32
Sauce,100.0,138,10.2,6.2,10.4,3.2,0.9
Poultry,100.0,319,14.05,29.0,0.0,0.0,0.0
Sauce,100.0,72,3.95,2.6,8.29,0.1,5.29
Poultry,100.0,154,16.1,8.0,4.3,2.4,0.8
Snacks,100.0,413,8.5,8.7,77.4,7.4,22.5
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Snacks,100.0,547,5.0,33.0,58.7,1.6,22.5
Snacks,100.0,495,13.5,27.0,53.8,4.4,0.0
Beverages,100.0,49,0.0,0.1,12.34,0.0,11.03
Legumes and seeds,100.0,58,3.01,0.5,10.6,3.3,3.2
Poultry,100.0,244,14.7,9.6,24.93,1.4,5.53
Legumes and seeds,100.0,144,5.0,6.9,15.47,4.7,0.0
Poultry,100.0,297,14.07,26.0,0.0,0.0,0.0
Legumes and seeds,100.0,128,7.52,0.1,24.77,7.3,0.0
Red Meat,100.0,122,15.2,4.4,6.8,3.7,0.4
Vegetables,100.0,121,4.1,3.6,24.0,7.1,2.0
Red Meat,100.0,198,19.74,13.0,0.0,0.0,0.0
Snacks,100.0,497,4.33,25.0,68.2,2.7,46.0
Grains,100.0,369,10.39,5.1,74.52,8.2,21.14
Miscellaneous Ingredients,100.0,660,6.88,65.0,23.65,16.3,7.35
Legumes and seeds,100.0,143,9.01,0.7,26.22,9.0,0.34
Vegetables,100.0,87,1.87,0.1,20.13,1.8,0.91
Sauce,100.0,41,0.68,2.0,5.11,0.1,1.59
Fruits,100.0,81,1.3,0.3,20.3,0.7,10.28
Legumes and seeds,100.0,36,2.09,0.2,8.18,4.2,0.0
Red Meat,100.0,648,6.27,69.0,0.0,0.0,0.0
Poultry,100.0,191,17.52,13.0,0.0,0.0,0.0
Red Meat,100.0,377,22.59,31.0,1.08,0.0,0.0
Poultry,100.0,251,20.29,19.0,0.4,0.0,0.4
Vegetables,100.0,21,2.72,0.2,3.39,2.7,0.69
Red Meat,100.0,731,6.5,78.0,0.0,0.0,0.0
Grains,100.0,474,2.19,18.0,76.03,2.5,49.0
Red Meat,100.0,212,23.16,13.0,0.0,0.0,0.0
Red Meat,100.0,655,6.38,70.0,0.0,0.0,0.0
Eggs,100.0,289,6.92,9.4,44.16,2.4,4.5
Fruits,100.0,56,0.63,0.3,13.04,0.6,11.46
Sauce,100.0,57,9.05,0.3,5.59,0.7,0.5
Legumes and seeds,100.0,25,1.18,0.0,5.14,4.5,0.22
