category,serving_size,calories,protein,total_fat,carbohydrate,fiber,sugars
Dairy,100.0,413,6.47,11.0,72.05,0.4,45.97
Grains,100.0,250,8.7,3.1,47.5,6.5,0.53
Red Meat,100.0,111,22.95,1.5,0.0,0.0,0.0
Sauce,100.0,31,0.0,0.0,9.38,0.0,6.25
Poultry,100.0,116,21.99,2.4,0.0,0.0,0.0
Red Meat,100.0,106,18.43,3.6,0.21,0.0,0.0
Fruits,100.0,71,0.61,0.0,17.45,1.0,16.45
Red Meat,100.0,257,11.82,15.0,20.08,1.6,3.97
Legumes and seeds,100.0,327,51.46,1.2,33.92,17.5,16.42
Eggs,100.0,315,10.5,6.6,52.6,2.5,1.94
Seafood,100.0,85,18.5,0.7,0.0,0.0,0.0
Seafood,100.0,124,20.04,4.2,0.0,0.0,0.0
Miscellaneous Ingredients,100.0,345,15.8,15.0,52.29,39.8,0.0
Vegetables,100.0,58,2.57,0.1,12.44,2.5,0.0
Fruits,100.0,27,1.66,0.5,5.35,3.4,1.95
Legumes and seeds,100.0,37,2.1,0.2,8.53,3.2,0.0
Fruits,100.0,253,0.1,0.1,66.4,0.4,21.01
Legumes and seeds,100.0,95,6.81,3.5,9.22,0.7,0.34
Sauce,100.0,258,14.11,3.0,55.76,12.3,37.59
Sauce,100.0,36,0.32,0.1,9.48,3.6,5.88
Vegetables,100.0,19,3.15,0.4,2.33,0.0,0.0
Fruits,100.0,28,1.11,0.1,6.58,0.9,5.69
Fruits,100.0,33,0.84,0.3,7.94,0.7,0.0
Seafood,100.0,902,0.0,100.0,0.0,0.0,0.0
Legumes and seeds,100.0,509,8.1,31.0,53.66,0.0,0.0
Grains,100.0,276,10.8,2.8,51.87,5.4,0.4
Poultry,100.0,381,11.27,9.7,62.09,0.0,0.0
Seafood,100.0,96,17.5,2.3,0.0,0.0,0.0
Dairy,100.0,207,3.5,11.0,23.6,0.7,21.22
Dairy,100.0,41,2.88,1.7,3.29,0.4,2.47
Vegetables,100.0,27,2.0,0.1,6.1,3.1,2.27
Seafood,100.0,96,20.08,1.7,0.0,0.0,0.0
Vegetables,100.0,22,3.17,0.5,2.85,2.7,0.38
Grains,100.0,365,9.42,4.7,74.26,7.3,0.64
Vegetables,100.0,89,19.8,0.5,0.0,0.0,0.0
Legumes and seeds,100.0,72,1.4,0.2,17.51,1.5,8.73
Snacks,100.0,237,4.29,8.6,37.14,0.0,18.57
Condiments,100.0,465,10.8,18.0,63.5,5.0,4.41
Snacks,100.0,498,2.3,25.0,68.1,7.2,3.82
Fruits,100.0,41,0.73,0.5,9.57,3.6,0.0
Seafood,100.0,74,16.32,0.5,0.0,0.0,0.0
Red Meat,100.0,304,15.2,26.0,2.1,0.0,0.0
Poultry,100.0,148,19.66,7.7,0.0,0.0,0.0
Fruits,100.0,278,0.37,0.1,68.86,1.1,48.5
Vegetables,100.0,35,0.64,0.1,8.24,2.9,4.76
Oil,100.0,884,0.0,100.0,0.0,0.0,0.0
Grains,100.0,360,12.68,1.1,72.83,3.9,0.0
Miscellaneous Ingredients,100.0,337,17.6,16.0,50.02,14.6,0.0
Snacks,100.0,387,8.1,2.4,83.4,1.9,23.47
Condiments,100.0,101,1.04,0.1,27.4,0.3,21.27
Snacks,100.0,414,9.2,21.0,47.0,2.6,11.35
Dairy,100.0,108,5.98,7.0,5.36,0.0,0.0
Fruits,100.0,23,0.4,0.3,4.8,0.3,4.5
Legumes and seeds,100.0,34,4.65,0.3,5.8,0.0,0.0
Snacks,100.0,370,7.08,19.0,42.82,2.5,3.88
Grains,100.0,241,9.9,1.2,47.47,6.2,8.66
Red Meat,100.0,153,31.1,1.9,2.76,0.0,2.7
Miscellaneous Ingredients,100.0,458,9.0,28.0,47.81,4.8,36.25
Seafood,100.0,43,1.68,0.6,9.57,1.3,0.6
Seafood,100.0,26,0.54,0.0,6.75,0.5,0.28
Seafood,100.0,902,0.0,100.0,0.0,0.0,0.0
Eggs,100.0,307,9.5,6.4,52.0,3.7,4.3
Grains,100.0,238,10.66,2.2,43.91,9.2,5.0
Vegetables,100.0,32,0.8,0.1,7.55,0.9,5.02
Vegetables,100.0,34,1.9,0.4,6.5,2.4,2.18
Beverages,100.0,53,2.47,1.4,7.82,0.0,5.76
Grains,100.0,286,10.3,3.4,53.1,4.9,1.17
Sauce,100.0,313,9.2,9.6,47.49,0.0,0.0
Dairy,100.0,253,9.15,23.0,3.59,0.0,3.19
Condiments,100.0,166,7.9,9.6,14.29,6.0,0.0
Eggs,100.0,406,8.2,21.0,45.8,2.6,11.26
Vegetables,100.0,341,8.1,1.5,79.57,23.6,38.82
Condiments,100.0,18,0.0,0.0,0.04,0.0,0.04
Fruits,100.0,124,1.45,0.5,32.1,5.4,20.14
Legumes and seeds,100.0,372,49.81,8.9,30.63,16.0,9.33
Beverages,100.0,52,0.8,0.0,12.13,0.7,0.01
Grains,100.0,286,0.0,0.0,77.59,0.0,77.59
Eggs,100.0,476,6.41,22.0,63.49,6.7,1.5
Legumes and seeds,100.0,375,17.81,22.0,44.24,10.5,2.25
Vegetables,100.0,27,2.6,0.3,5.2,2.2,3.0
Seafood,100.0,85,17.66,1.1,0.0,0.0,0.0
Dairy,100.0,353,12.93,1.1,74.46,0.0,74.46
Dairy,100.0,27,0.85,0.4,5.14,0.0,5.14
Miscellaneous Ingredients,100.0,525,17.99,42.0,28.13,19.5,2.99
Snacks,100.0,397,10.8,2.0,82.2,2.3,3.08
Red Meat,100.0,902,0.0,100.0,0.0,0.0,0.0
Dairy,100.0,339,7.0,15.0,44.3,1.0,0.0
Sauce,100.0,503,1.09,51.0,10.05,1.0,8.98
Legumes and seeds,100.0,47,2.8,0.4,8.35,0.0,0.0
Vegetables,100.0,32,2.6,0.7,5.5,1.1,4.4
Fruits,100.0,282,2.45,0.4,75.03,8.0,63.35
Legumes and seeds,100.0,43,4.2,0.8,7.3,4.0,0.0
Poultry,100.0,367,10.42,7.2,65.12,0.0,0.0
Grains,100.0,370,75.16,1.9,13.79,0.6,0.0
Vegetables,100.0,32,1.5,0.3,7.13,3.2,0.81
Grains,100.0,387,0.0,0.0,99.98,0.0,99.8
Red Meat,100.0,269,12.81,24.0,0.28,0.1,0.0
